connector,function,model,runs,ticks,time.ms,max.memory.used.b
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,400,100,10368,3245711360
nl4py,runExperiment,Wolf Sheep Predation,400,100,8559,3260690432
pynetlogo,repeat_report,Wolf Sheep Predation,400,100,14727,17933746176
nl4py,scheduleReportersAndRun,Fire,600,100,12064,4126523392
nl4py,runExperiment,Fire,600,100,10975,3854188544
pynetlogo,repeat_report,Fire,600,100,16388,20557910016
nl4py,scheduleReportersAndRun,Ethnocentrism,600,1000,302976,45319852032
nl4py,runExperiment,Ethnocentrism,600,1000,285924,43809374208
pynetlogo,repeat_report,Ethnocentrism,600,1000,278602,82058285056
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,600,100,12650,4604772352
nl4py,runExperiment,Wolf Sheep Predation,600,100,8330,4702097408
pynetlogo,repeat_report,Wolf Sheep Predation,600,100,16571,21226520576
nl4py,scheduleReportersAndRun,Fire,800,100,13776,4868276224
nl4py,runExperiment,Fire,800,100,13008,4135890944
pynetlogo,repeat_report,Fire,800,100,17719,22112665600
nl4py,scheduleReportersAndRun,Ethnocentrism,800,1000,400419,45404119040
nl4py,runExperiment,Ethnocentrism,800,1000,387757,43866705920
pynetlogo,repeat_report,Ethnocentrism,800,1000,366753,85528932352
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,800,100,15355,5325430784
nl4py,runExperiment,Wolf Sheep Predation,800,100,10054,4726407168
pynetlogo,repeat_report,Wolf Sheep Predation,800,100,18893,21806088192
nl4py,scheduleReportersAndRun,Fire,1000,100,16117,4934643712
nl4py,runExperiment,Fire,1000,100,13731,4098064384
pynetlogo,repeat_report,Fire,1000,100,19588,22602510336
nl4py,scheduleReportersAndRun,Ethnocentrism,1000,1000,491644,45582094336
nl4py,runExperiment,Ethnocentrism,1000,1000,474251,43948437504
pynetlogo,repeat_report,Ethnocentrism,1000,1000,445209,94621487104
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,1000,100,17455,5710995456
nl4py,runExperiment,Wolf Sheep Predation,1000,100,12419,5168693248
pynetlogo,repeat_report,Wolf Sheep Predation,1000,100,20714,23968878592
nl4py,scheduleReportersAndRun,Fire,200,100,7999,2783195136
nl4py,runExperiment,Fire,200,100,7252,3155824640
pynetlogo,repeat_report,Fire,200,100,11988,9818849280
nl4py,scheduleReportersAndRun,Ethnocentrism,200,1000,117184,34434174976
nl4py,runExperiment,Ethnocentrism,200,1000,105781,33452371968
pynetlogo,repeat_report,Ethnocentrism,200,1000,113668,67596324864
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,200,100,7579,2509602816
nl4py,runExperiment,Wolf Sheep Predation,200,100,6824,2555424768
pynetlogo,repeat_report,Wolf Sheep Predation,200,100,12393,11246522368
nl4py,scheduleReportersAndRun,Fire,400,100,10784,3693305856
nl4py,runExperiment,Fire,400,100,9390,3559198720
pynetlogo,repeat_report,Fire,400,100,14788,15218503680
nl4py,scheduleReportersAndRun,Ethnocentrism,400,1000,221539,45247557632
nl4py,runExperiment,Ethnocentrism,400,1000,193797,43773366272
pynetlogo,repeat_report,Ethnocentrism,400,1000,207062,76914962432
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,400,100,9676,3486765056
nl4py,runExperiment,Wolf Sheep Predation,400,100,7161,3671846912
pynetlogo,repeat_report,Wolf Sheep Predation,400,100,14623,18234552320
nl4py,scheduleReportersAndRun,Fire,600,100,11923,3888197632
nl4py,runExperiment,Fire,600,100,10464,3697451008
pynetlogo,repeat_report,Fire,600,100,16438,20697219072
nl4py,scheduleReportersAndRun,Ethnocentrism,600,1000,315922,45298712576
nl4py,runExperiment,Ethnocentrism,600,1000,288522,43808268288
pynetlogo,repeat_report,Ethnocentrism,600,1000,277308,75300171776
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,600,100,12429,4374122496
nl4py,runExperiment,Wolf Sheep Predation,600,100,8729,4199690240
pynetlogo,repeat_report,Wolf Sheep Predation,600,100,16772,21316251648
nl4py,scheduleReportersAndRun,Fire,800,100,13827,4738998272
nl4py,runExperiment,Fire,800,100,12057,3955843072
pynetlogo,repeat_report,Fire,800,100,18007,22072639488
nl4py,scheduleReportersAndRun,Ethnocentrism,800,1000,394854,45433815040
nl4py,runExperiment,Ethnocentrism,800,1000,377068,43965534208
pynetlogo,repeat_report,Ethnocentrism,800,1000,364332,87456227328
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,800,100,14845,7264645120
nl4py,runExperiment,Wolf Sheep Predation,800,100,9538,7140433920
pynetlogo,repeat_report,Wolf Sheep Predation,800,100,18824,21594013696
nl4py,scheduleReportersAndRun,Fire,1000,100,16337,4880986112
nl4py,runExperiment,Fire,1000,100,13151,4587040768
pynetlogo,repeat_report,Fire,1000,100,19181,22507069440
nl4py,scheduleReportersAndRun,Ethnocentrism,1000,1000,488376,45618475008
nl4py,runExperiment,Ethnocentrism,1000,1000,474803,44000002048
pynetlogo,repeat_report,Ethnocentrism,1000,1000,452288,95199961088
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,1000,100,18432,5354319872
nl4py,runExperiment,Wolf Sheep Predation,1000,100,11377,4532891648
pynetlogo,repeat_report,Wolf Sheep Predation,1000,100,21079,24398077952
nl4py,scheduleReportersAndRun,Fire,200,100,7373,3122061312
nl4py,runExperiment,Fire,200,100,7426,3074998272
pynetlogo,repeat_report,Fire,200,100,12194,11168522240
nl4py,scheduleReportersAndRun,Ethnocentrism,200,1000,117279,29741346816
nl4py,runExperiment,Ethnocentrism,200,1000,104848,28267610112
pynetlogo,repeat_report,Ethnocentrism,200,1000,113655,69146619904
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,200,100,7414,2518880256
nl4py,runExperiment,Wolf Sheep Predation,200,100,5821,2493964288
pynetlogo,repeat_report,Wolf Sheep Predation,200,100,12334,11411542016
nl4py,scheduleReportersAndRun,Fire,400,100,9915,3641700352
nl4py,runExperiment,Fire,400,100,9290,3402686464
pynetlogo,repeat_report,Fire,400,100,14748,15307681792
nl4py,scheduleReportersAndRun,Ethnocentrism,400,1000,228395,45220737024
nl4py,runExperiment,Ethnocentrism,400,1000,198288,43653681152
pynetlogo,repeat_report,Ethnocentrism,400,1000,208874,77522366464
