connector,function,model,runs,ticks,time.ms,max.memory.used.b
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,1000,100,18047,6007316480
nl4py,runExperiment,Wolf Sheep Predation,1000,100,11232,5115793408
pynetlogo,repeat_report,Wolf Sheep Predation,1000,100,20963,23742230528
nl4py,scheduleReportersAndRun,Fire,200,100,8214,3118227456
nl4py,runExperiment,Fire,200,100,7118,3124056064
pynetlogo,repeat_report,Fire,200,100,12052,11168382976
nl4py,scheduleReportersAndRun,Ethnocentrism,200,1000,119001,28848054272
nl4py,runExperiment,Ethnocentrism,200,1000,107912,27507855360
pynetlogo,repeat_report,Ethnocentrism,200,1000,115508,69399592960
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,200,100,7117,2770280448
nl4py,runExperiment,Wolf Sheep Predation,200,100,6877,2614276096
pynetlogo,repeat_report,Wolf Sheep Predation,200,100,12437,11277017088
nl4py,scheduleReportersAndRun,Fire,400,100,10622,3636068352
nl4py,runExperiment,Fire,400,100,9301,3312418816
pynetlogo,repeat_report,Fire,400,100,14711,15086571520
nl4py,scheduleReportersAndRun,Ethnocentrism,400,1000,229855,45186899968
nl4py,runExperiment,Ethnocentrism,400,1000,201312,43751161856
pynetlogo,repeat_report,Ethnocentrism,400,1000,211789,74061221888
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,400,100,9818,3718033408
nl4py,runExperiment,Wolf Sheep Predation,400,100,7278,3990319104
pynetlogo,repeat_report,Wolf Sheep Predation,400,100,14662,17753108480
nl4py,scheduleReportersAndRun,Fire,600,100,12368,3800248320
nl4py,runExperiment,Fire,600,100,10525,4175056896
pynetlogo,repeat_report,Fire,600,100,16462,20340854784
nl4py,scheduleReportersAndRun,Ethnocentrism,600,1000,309098,45273194496
nl4py,runExperiment,Ethnocentrism,600,1000,293139,43846520832
pynetlogo,repeat_report,Ethnocentrism,600,1000,284088,85866405888
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,600,100,13948,3887652864
nl4py,runExperiment,Wolf Sheep Predation,600,100,8796,3810263040
pynetlogo,repeat_report,Wolf Sheep Predation,600,100,17035,21552009216
nl4py,scheduleReportersAndRun,Fire,800,100,14551,4399374336
nl4py,runExperiment,Fire,800,100,12170,3639083008
pynetlogo,repeat_report,Fire,800,100,18079,22681894912
